date,aluminum,ammonium ion,arsenic,barium,bromine,cadmium,calcium,chlorine,chromium,copper,elemental carbon,iron,lead,magnesium,manganese,nickel,organic carbon,potassium ion,selenium,silicon,sodium,sulfur,titanium,total nitrate,vanadium,zinc
2011-02-11,-2.2453041961345392e-7,-7.250552053018411e-7,-8.385532837456814e-7,8.804227267734133e-9,-5.25952327289979e-7,-9.374085457695257e-10,-5.102757783401961e-7,1.718675750437928e-7,6.1265128719094e-8,-4.2914893818641513e-7,-1.7154282749962026e-6,-3.368130863079816e-7,-1.3125658836405686e-7,-4.039728589890267e-7,-4.4978390185386084e-7,-1.2795495587315739e-6,-1.331784646112023e-6,-2.656398192745456e-7,-1.073889728297854e-6,-1.809778291157257e-8,-3.479617226451579e-7,-7.567332597959219e-7,1.0342765306754916e-7,0.06470023256883761,-3.322388174550791e-7,-7.962907146205007e-7
2011-02-14,8.454548869586542e-8,-1.2916277409076517e-7,-3.439978548043712e-7,9.908321767800163e-7,-2.2093787708559486e-8,-2.526443545419367e-7,-1.8993624235532033e-7,-1.1482748464202956e-7,7.325180220905656e-8,-4.002756903193968e-7,-7.145270314893078e-7,-2.123132259039041e-7,-2.2079469482973435e-7,-1.0932005686561727e-7,-4.589839846557472e-7,-4.1247790360316323e-7,-5.838425441543131e-7,0.054712264089533294,-7.16701133264798e-8,-2.2148053582572158e-7,-3.703701206925199e-7,-1.461339961464398e-7,-6.394564142020196e-7,-2.53075558466447e-7,-1.7140372548079893e-7,-2.083476111440294e-7
2011-02-17,-1.185847069502369e-6,-7.777857667219262e-7,-0.13410445901383183,-8.459490148314328e-7,-9.104925993057726e-7,-8.263391958109016e-6,-1.3061876147971423e-6,-2.772079400538993e-7,1.2350695281702839e-8,-6.737379824705149e-7,0.16789364154469086,-1.1245833851835927e-6,-7.526851613884044e-7,-2.535429047761789e-7,-9.939453925619825e-7,-1.628697567419419e-6,-1.4047264105947185e-6,-4.0446023310726725e-7,-5.836564702001173e-7,-1.3211359649436412e-6,-7.005912544279597e-7,-1.2160777930506751e-6,-9.107581416242938e-7,-8.485979433935274e-7,-1.0514521779511476e-6,-1.5152123029244101e-6
2011-02-20,-1.7710255431252166e-7,-2.97041821689608e-7,0.11440633133559072,5.568997834978448e-7,-8.807093696756624e-9,-9.256884115551111e-7,-2.7390142849640644e-7,-1.462070825536912e-7,-2.0673857228544284e-7,-7.541871971112734e-8,-6.07194586883533e-7,-2.687242175049327e-7,8.605699612286287e-8,-8.360763185187373e-7,-6.192805140723901e-7,-5.010081702415746e-7,-3.175233495951822e-7,-1.0724064747967663e-7,3.649209650324472e-7,-1.7853004093047335e-7,-6.34009583791559e-7,-1.1344713126386222e-7,-1.0116786434532631e-7,-6.332473337124223e-7,-3.007242158384384e-7,-3.0379043000279126e-7
2011-02-23,-1.6418441172867004e-7,2.6129765420258763e-7,-1.0864483747407695e-6,-2.3187281207923503e-9,-1.1841336282282684e-7,-3.315476963649394e-7,-6.005291941458754e-7,3.7319442171561586e-7,6.203925806455676e-7,-7.902510679658127e-7,-2.193750983061126e-6,-5.71849312161837e-7,-6.350176544421679e-7,-9.507640455426502e-7,-8.920758764286107e-7,-6.782983866553502e-7,-1.4551560640369128e-6,-9.809931310464383e-7,-2.540774227863929e-9,-4.246863262440187e-7,-3.0013690376867465e-7,3.2967649434607454e-7,-4.664730349299664e-7,-5.872464343916192e-7,-1.5954197725822142e-7,-7.690275959587585e-7
2011-02-26,1.9743022838217446e-8,-3.552213611843257e-7,-5.086107016254575e-7,-9.463252253709476e-10,-2.7863455170953953e-7,-1.0793326283390378e-6,-1.5508074463451636e-7,9.309016085958671e-8,3.596290239344898e-8,-1.9383238862117716e-7,-5.429054108264681e-7,-1.8955804440940515e-7,5.966340437699486e-8,2.989133164127047e-10,-2.767077739886956e-7,-2.0947672815304952e-7,-6.386277149520164e-7,-7.723149980458163e-7,-5.878973309272186e-7,-2.1984926384087129e-7,3.654141593900701e-8,-3.914853078923735e-7,-2.2291825763239275e-7,-3.332274508966616e-7,-2.4927457143018026e-7,-3.1804903830761396e-7
2011-03-01,-4.3530098981074884e-7,-1.3316366934879666e-7,-1.1534298175861209e-7,-1.8008490463976897e-7,-1.9707601966226568e-7,1.4854734268389814e-7,-1.366366801953724e-7,4.003890723222393e-8,-7.656324159533562e-8,-4.957061301625582e-7,-7.304992698936404e-7,-3.9360950421044215e-7,-4.3197979054906906e-7,-1.0911062851116189e-7,-1.6176954250954564e-7,-1.8767514345492393e-7,-6.517743513931366e-7,-4.868950989994321e-7,1.4117853949436603e-7,-3.604238457201979e-7,-8.190090474770828e-8,-2.3714825095361863e-7,-2.235523621472741e-7,-2.4604377405867527e-7,-2.0423007536737246e-7,-1.2445277869610168e-7
2011-03-04,-3.2614116401700924e-7,-4.7126094388221396e-8,-5.461636653970038e-7,3.2717824985649705e-7,2.6487261268852424e-8,-3.35331722791902e-8,-1.3057258598006346e-7,-1.2696680038155607e-7,-6.476583892923893e-8,-5.752108551953197e-7,-7.881444861746815e-7,-2.842893887312122e-7,-9.143619603168337e-8,-5.837180292091119e-7,-4.526836491579882e-7,-2.0481188753066615e-7,-7.591175782599623e-7,-5.416098507545566e-7,-1.4117696290057976e-7,-3.4968213748970655e-7,-2.476669783241283e-7,-1.981273923849715e-7,-3.8421466019763215e-7,-9.111654978633844e-8,-4.5638827313838285e-7,-1.9724392753522817e-7
2011-03-07,-1.0638035557579981e-7,4.5502050308795445e-8,-4.4986972710083526e-7,-2.584323452987548e-7,-2.537010285520565e-8,8.790036519431216e-8,-9.590399165574295e-8,-3.023356053383537e-8,-2.4484263491984956e-8,-3.4342304417072777e-7,-5.322779969735595e-7,-2.2798170919402313e-7,-1.4229062288724623e-7,-2.6944071487722417e-7,-1.6174375812515242e-7,-1.4496309427640283e-7,-3.9962862631537247e-7,-3.6290413012528565e-7,-2.0667236007562652e-8,-1.6250227457304643e-7,2.0010853458095855e-8,1.3846857191654222e-7,-1.7517190528847028e-7,-2.209868750797696e-7,-1.2913736201505314e-7,-2.566460246216886e-7
2011-03-10,2.6703991220340065e-7,9.042223172132172e-7,-2.114427784218892e-7,-1.718372901150907e-6,-3.0430315344370535e-6,1.2234075571966932e-7,-1.1267675011562006e-6,9.027363059758265,3.237758490023837e-7,-2.8719099875201717e-7,-6.202372299694511e-7,-4.0791133716310793e-7,1.1333124350281785e-7,0.521869429522821,9.132284654622521e-7,6.0421489833958e-7,-1.0573983353312636e-6,-2.5735438577771732e-6,1.3373349432025677e-7,-2.638063174608459e-7,-1.913142973614891e-5,-1.6628931792977785e-7,1.3205067120637342e-6,-1.4981879189845775e-6,4.848422716409462e-7,-1.5213511497166413e-7
2011-03-13,-7.396561460542093e-8,-4.978520301292313e-7,1.3313484348334627e-7,-2.860495142953955e-7,-2.5200464409165383e-7,1.3484981884872367e-7,-1.423997577748921e-7,-3.0243793588767944e-7,1.963894865344919e-7,-4.014997685372352e-8,-2.5725119568203813e-7,-9.794147873827728e-8,-3.794867612470635e-7,-2.554127479753425e-7,-2.023066510131671e-7,-9.288515271591526e-8,-1.8951183557119894e-7,3.2566124664504416e-7,0.33245196137811106,-2.609972699908612e-7,-3.0145007181483715e-7,-5.008682435980153e-7,-3.0680034578840673e-7,-5.147445463603989e-7,-7.432124671890954e-8,-2.037062663922281e-7
2011-03-16,1.0131782662965209e-7,-4.189753178266772e-7,-1.506117594867225e-7,-1.094323275377645e-6,-4.099119188273502e-7,-7.480573934893528e-7,1.441133317311068e-8,-1.2907891821555364e-7,5.54688056902392e-8,-4.7145687438298733e-7,-7.28966501546734e-8,-7.511903725649412e-8,-3.7220552406084406e-7,-1.8036080126418802e-7,-3.3418652268833607e-7,-1.1934026210057175e-7,-2.7490059465682624e-7,-2.596734905149973e-7,-2.917706285135406e-7,-1.1550219459155239e-7,8.876836297630215e-8,-3.986792050871616e-7,-1.692245861548176e-7,-3.4963136284608433e-7,-2.5772361543187827e-7,-1.7856127314878233e-7
